X,Year,Date,DOY,Temp_at40m,Station,Strafication
1,1998,4/21/98,110,4.1824,B,No Stra
2,1998,5/5/98,124,4.5896,B,No Stra
3,1998,6/25/98,175,7.5846,B,Stra
4,1998,7/8/98,188,6.6718,B,Stra
5,1998,8/20/98,231,6.7525,B,Stra
6,1998,9/15/98,257,7.0019,B,Stra
7,1998,9/18/98,260,7.1441,B,Stra
8,1998,10/23/98,295,8.6987,B,Stra_low
9,1998,11/18/98,321,9.1139,B,No Stra
10,1998,11/19/98,322,8.8453,B,No Stra
11,1998,12/9/98,342,8.1746,B,No Stra
12,1999,4/30/99,120,3.3,Estimated,
13,1999,5/10/99,130,4.16,Estimated,
14,1999,5/20/99,140,4.59,Estimated,
15,1999,5/30/99,150,4.89,Estimated,
16,1999,6/9/99,160,5.64,Estimated,
17,1999,6/19/99,170,5.37,Estimated,
18,1999,6/29/99,180,5.67,Estimated,
19,1999,7/9/99,190,5.71,Estimated,
20,1999,7/19/99,200,5.59,Estimated,
21,1999,7/24/99,205,5.83,Estimated,
22,1999,7/29/99,210,5.94,Estimated,
23,1999,8/18/99,230,5.74,Estimated,
24,1999,9/17/99,260,6.74,Estimated,
25,1999,9/27/99,270,6.96,Estimated,
26,1999,10/2/99,275,7.75,Estimated,
27,1999,10/12/99,285,7.79,Estimated,
28,1999,10/22/99,295,8.16,Estimated,
29,1999,10/27/99,300,9,Estimated,
30,1999,11/16/99,320,9.3,Estimated,
31,1999,11/26/99,330,9.63,Estimated,
32,1999,12/6/99,340,10.17,Estimated,
33,1999,12/16/99,350,9.31,Estimated,
34,2000,4/30/00,120,4.82,Estimated,
35,2000,5/10/00,130,4.9,Estimated,
36,2000,5/20/00,140,4.86,Estimated,
37,2000,5/30/00,150,4.98,Estimated,
38,2000,6/9/00,160,5.21,Estimated,
39,2000,6/19/00,170,5.04,Estimated,
40,2000,6/29/00,180,5.1,Estimated,
41,2000,7/9/00,190,5.29,Estimated,
42,2000,7/19/00,200,5.44,Estimated,
43,2000,7/24/00,205,5.15,Estimated,
44,2000,7/29/00,210,5.24,Estimated,
45,2000,8/18/00,230,5.66,Estimated,
46,2000,9/17/00,260,6.68,Estimated,
47,2000,9/27/00,270,7.5,Estimated,
48,2000,10/2/00,275,8.06,Estimated,
49,2000,10/12/00,285,8.55,Estimated,
50,2000,10/22/00,295,8.1,Estimated,
51,2000,10/27/00,300,7.9,Estimated,
52,2000,11/16/00,320,9.4,Estimated,
53,2000,11/26/00,330,8.52,Estimated,
54,2000,12/6/00,340,8.19,Estimated,
55,2000,12/16/00,350,6.69,Estimated,
56,2001,4/30/01,120,2.9,Estimated,
57,2001,5/10/01,130,3.34,Estimated,
58,2001,5/20/01,140,3.86,Estimated,
59,2001,5/30/01,150,4.14,Estimated,
60,2001,6/9/01,160,4.63,Estimated,
61,2001,6/19/01,170,5.1,Estimated,
62,2001,6/29/01,180,5.38,Estimated,
63,2001,7/9/01,190,4.76,Estimated,
64,2001,7/19/01,200,5.57,Estimated,
65,2001,7/24/01,205,5.9,Estimated,
66,2001,7/29/01,210,5.37,Estimated,
67,2001,8/18/01,230,5.57,Estimated,
68,2001,9/17/01,260,6.42,Estimated,
69,2001,9/27/01,270,7.45,Estimated,
70,2001,10/2/01,275,8.51,Estimated,
71,2001,10/12/01,285,8.46,Estimated,
72,2001,10/22/01,295,8.98,Estimated,
73,2001,10/27/01,300,8.8,Estimated,
74,2001,11/16/01,320,9.24,Estimated,
75,2001,11/26/01,330,9.44,Estimated,
76,2001,12/6/01,340,9.97,Estimated,
77,2001,12/16/01,350,9.92,Estimated,
78,2002,4/30/02,120,3.5,Estimated,
79,2002,5/10/02,130,3.67,Estimated,
80,2002,5/20/02,140,3.88,Estimated,
81,2002,5/30/02,150,4.38,Estimated,
82,2002,6/9/02,160,4.73,Estimated,
83,2002,6/19/02,170,5,Estimated,
84,2002,6/29/02,180,5.32,Estimated,
85,2002,7/9/02,190,5.87,Estimated,
86,2002,7/19/02,200,5.96,Estimated,
87,2002,7/24/02,205,5.85,Estimated,
88,2002,7/29/02,210,5.41,Estimated,
89,2002,8/18/02,230,5.47,Estimated,
90,2002,9/17/02,260,5.77,Estimated,
91,2002,9/27/02,270,6.4,Estimated,
92,2002,10/2/02,275,6.99,Estimated,
93,2002,10/12/02,285,7.35,Estimated,
94,2002,10/22/02,295,8.28,Estimated,
95,2002,10/27/02,300,8.49,Estimated,
96,2002,11/16/02,320,9.25,Estimated,
97,2002,11/26/02,330,8.47,Estimated,
98,2002,12/6/02,340,7.34,Estimated,
99,2002,12/16/02,350,6.94,Estimated,
100,2003,4/30/03,120,2.61,Estimated,
101,2003,5/10/03,130,3.04,Estimated,
102,2003,5/20/03,140,3.48,Estimated,
103,2003,5/30/03,150,3.81,Estimated,
104,2003,6/9/03,160,4.19,Estimated,
105,2003,6/19/03,170,4.78,Estimated,
106,2003,6/29/03,180,4.79,Estimated,
107,2003,7/9/03,190,5.14,Estimated,
108,2003,7/19/03,200,4.9,Estimated,
109,2003,7/24/03,205,4.92,Estimated,
110,2003,7/29/03,210,4.85,Estimated,
111,2003,8/18/03,230,5.38,Estimated,
112,2003,9/17/03,260,5.99,Estimated,
113,2003,9/27/03,270,6.67,Estimated,
114,2003,10/2/03,275,6.99,Estimated,
115,2003,10/12/03,285,7.59,Estimated,
116,2003,10/22/03,295,8.06,Estimated,
117,2003,10/27/03,300,8.15,Estimated,
118,2003,11/16/03,320,8.62,Estimated,
119,2003,11/26/03,330,8.23,Estimated,
120,2003,12/6/03,340,7.27,Estimated,
121,2003,12/16/03,350,6.97,Estimated,
122,2007,3/21/07,79,1.9778,Omega,No stra
123,2007,3/28/07,86,2.2567,Omega,No stra
124,2007,4/10/07,99,2.2567,Omega,No stra
125,2007,5/11/07,130,3.8304,Omega,No stra
126,2007,5/23/07,142,4.4557,Omega,No stra
127,2007,6/26/07,176,4.8033,Omega,Stra
128,2007,7/31/07,211,4.8212,Omega,Stra
129,2007,8/14/07,225,5.0758,Omega,Stra
130,2007,8/23/07,234,5.7475,Omega,Stra
131,2007,9/7/07,249,5.2582,Omega,Stra
132,2007,10/2/07,274,6.4137,Omega,Stra
133,2007,11/14/07,317,10.162,Omega,No stra
134,2007,12/5/07,338,7.7742,Omega,No stra
135,2008,4/2/08,91,2.2515,Omega,No stra
136,2008,4/5/08,94,2.3511,Omega,No stra
137,2008,4/10/08,99,2.494,Omega,No stra
138,2008,4/19/08,108,2.5057,Omega,No stra
139,2008,5/2/08,121,3.2361,100m,No stra
140,2008,5/7/08,126,3.3429,Omega,No stra
141,2008,5/18/08,137,3.6733,Omega,No stra
142,2008,6/6/08,156,4.7449,Omega,Stra_low
143,2008,6/21/08,171,5.0135,Omega,Stra
144,2008,7/9/08,189,6.1112,Omega,Stra
145,2008,7/23/08,203,5.6694,Omega,Stra
146,2008,8/14/08,225,5.0355,Omega,Stra
147,2008,8/29/08,240,5.1324,Omega,Stra
148,2008,9/5/08,247,5.2797,Omega,Stra
149,2008,9/18/08,260,5.1867,Omega,Stra
150,2008,10/1/08,273,5.2614,Omega,Stra
151,2008,10/17/08,289,5.4513,Omega,Stra
152,2008,11/5/08,308,9.987,Omega,No Stra
153,2009,4/17/09,106,2.3829,Omega,No Stra
154,2009,5/15/09,134,3.3453,Omega,No Stra
155,2009,6/12/09,162,6.0692,Omega,Stra
156,2009,7/7/09,187,4.9856,Omega,Stra
157,2009,7/14/09,194,5.2594,Omega,Stra
158,2009,8/6/09,217,4.8989,M110,Stra
159,2009,8/19/09,230,4.864,M110,Stra
160,2009,8/28/09,239,4.7192,M110,Stra
161,2009,8/30/09,241,4.8149,M110,Stra
162,2009,9/15/09,257,4.1461,M110,Stra
163,2009,9/24/09,266,5.0401,M110,Stra
164,2009,10/21/09,293,9.9709,M110,No Stra
165,2009,10/29/09,301,9.2331,B,No Stra
166,2009,11/10/09,313,8.3809,Omega,No Stra
167,2010,3/17/10,75,2.9032,M110,No Stra
168,2010,4/6/10,95,2.8318,M110,No Stra
169,2010,4/13/10,102,3.0891,M110,No Stra
170,2010,4/29/10,118,3.6302,M110,No Stra
171,2010,5/4/10,123,3.8887,M110,No Stra
172,2010,5/5/10,124,3.9334,M110,No Stra
173,2010,5/19/10,138,4.4272,M110,No Stra
174,2010,6/5/10,155,4.5302,M110,Stra
175,2010,6/15/10,165,4.5088,M110,Stra
176,2010,6/19/10,169,4.4993,m110,Stra
177,2010,7/12/10,192,5.5984,M110,Stra
178,2010,7/28/10,208,4.8173,M110,Stra
179,2010,8/5/10,216,4.5148,M110,Stra
180,2010,8/18/10,229,5.0879,M110,Stra
181,2010,9/10/10,252,6.9433,M110,Stra
182,2010,9/28/10,270,5.8994,M110,Stra
183,2010,10/8/10,280,4.7451,M110,Stra
184,2010,10/19/10,291,5.2052,M110,Stra
185,2010,11/2/10,305,11.2327,M110,No Stra
186,2010,12/4/10,337,7.9532,M110,No Stra
187,2011,3/29/11,87,1.5209,M110,No Stra
188,2011,4/13/11,102,2.2187,M110,No Stra
189,2011,4/19/11,108,2.4083,M110,No Stra
190,2011,4/22/11,111,2.7023,M110,No Stra
191,2011,5/6/11,125,2.8298,M110,No Stra
192,2011,6/7/11,157,4.6088,M110,Stra_low
193,2011,7/13/11,193,5.3094,Omega,Stra
194,2011,7/20/11,200,5.4442,M110,Stra
195,2011,8/9/11,220,5.4073,M110,Stra
196,2011,8/27/11,238,4.9774,M110,Stra
197,2011,9/7/11,249,5.1965,Omega,Stra
198,2011,10/4/11,276,9.3787,Omega,Stra
199,2011,11/5/11,308,11.8534,Omega,No Stra
200,2011,12/14/11,347,7.7167,Omega,No Stra
201,2012,3/15/12,73,2.8539,M110,No Stra
202,2012,4/4/12,93,4.2368,M110,No Stra
203,2012,5/8/12,127,5.5846,M110,No Stra
204,2012,6/6/12,156,5.6647,M110,Stra
205,2012,6/28/12,178,5.948,M110,Stra
206,2012,7/7/12,187,6.4648,M110,Stra
207,2012,7/28/12,208,6.4434,M110,Stra
208,2012,8/9/12,220,6.9311,M110,Stra
209,2012,8/15/12,226,6.2943,M110,Stra
210,2012,9/6/12,248,5.7426,Omega,Stra
211,2012,11/7/12,310,8.2633,Omega,No Stra
212,2012,12/18/12,351,6.7142,Omega,No Stra
213,2013,3/15/13,73,2.868,Omega,No Stra
214,2013,3/28/13,86,2.9709,M110,No Stra
215,2013,4/14/13,103,2.8876,M110,No Stra
216,2013,4/30/13,119,3.0558,M110,No Stra
217,2013,5/10/13,129,3.6055,M110,No Stra
